Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
82767	1890.35	-39.6	0.130419162
83161.7	1892.15	-39.8	0.131077844
83556.3	1893.94	-40.1	0.132065868
83951	1895.72	-40.4	0.133053892
84368	1897.48	-41	0.13502994
84785	1899.24	-40.7	0.134041916
85202	1901	-40.4	0.133053892
85637.3	1902.74	-40.2	0.13239521
86072.7	1904.48	-40.3	0.132724551
86508	1906.19	-39.9	0.131407186
86961.3	1907.88	-40.1	0.132065868
87414.7	1909.57	-39.9	0.131407186
87868	1911.25	-40.2	0.13239521
88326.7	1912.93	-39.9	0.131407186
88785.3	1914.61	-40.4	0.133053892
89244	1916.27	-39.9	0.131407186
89700	1917.92	-39.5	0.13008982
50051	50304		
50162	50354		
50272	50403		
50382	50482		
50491	50574		
50599	50669		
50704	50759		
50809	50849		
50915	50958		
51022	51056		
51127	51145		
51232	51227		
51335	51311		
51439	51399		
51543	51481		
51645	51564		
51746	51649		
51847	51736		
51947	51822		
52045	51906		
52144	51992		
52242	52096		
52341	52202		
52437	52352		
52585	52566		
52738	52758		
52889	52961		
53040	53112		
53191	53234		
53340	53319		
53487	53394		
53633	53459		
53780	53525		
53926	53652		
54070	53780		
54215	53929		
54357	54073		
54487	54193		
54616	54305		
54756	54401		
54896	54493		
55036	54581		
55174	54672		
55310	54765		
55445	54866		
55579	54967		
55713	55069		
55847	55178		
55979	55305		
56177	55465		
56437	55677		
56693	55906		
56946	56127		
57208	56372		
57468	56593		
57710	56793		
57900	56980		
58087	57140		
58270	57278		
58451	57496		
58629	57715		
58806	57947		
58985	58189		
59311	58545		
59631	58913		
59946	59296		
60258	59733		
60567	60107		
60872	60500		
61173	60866		
61470	61162		
61762	61457		
62049	61851		
62333	62333		
62615	62709		
62894	63172		
63170	63647		
63443	64013		
63697	64362		
63940	64732		
64157	65039		
64377	65298		
64596	65536		
64810	65797		
65024	66121		
65233	66411		
65439	66673		
65642	66851		
65842	67080		
66040	67348		
66235	67574		
66428	67792		
66619	68005		
66808	68229		
66993	68403		
67178	68549		
67495	68846		
67844	69113		
68188	69372		
68532	69657		
68874	70108		
69211	70567		
69540	71073		
69869	71611		
70208	71966		
70540	72212		
70851	72450		
71160	72666		
71466	72879		
71778	73103		
72081	73340		
72375	73559		
72666	73778		
72952	74056		
73231	74434		
73509	74838		
73788	75277		
74061	75625		
74329	75822		
74598	76068		
74894	76367		
75200	76636		
75499	76870		
75795	77119		
76089	77412		
76377	77700		
76664	77983		
77088	78379		
77506	78693		
77791	78926		
78075	79160		
78342	79375		
78603	79583		
78849	79777		
79098	79971		
79359	80170		
79614	80367		
79866	80555		
80109	80730		
80352	80893		
80596	81059		
80833	81225		
81064	81378		
81295	81531		
81524	81685		
81776	81829		
82176	82046		
82672	82315		
83108	82616		
83538	82863		
83956	83233		
84374	83459		
84786	83815		
85198	84113		
85604	84505		
86010	84946		
86404	85322		
86798	85743		
87180	86141		
87562	86468		
87938	86714		
88309	86965		
88679	87208		
89043	87596		
89407	87996		
89766	88348		
